name,UIC,knec_code,region,county,sub_county,division,zone,lat,lon
KATKAMUMA PRIMARY,,,,Baringo,Baringo Central,,,1.899,1.6
KOYORUS,,,,Baringo,Baringo Central,,,25.0,35.0
Burburet,,,,Baringo,Baringo North,,,52.201969,7.41725
KAIMOGOL PRIMARY SCHOOL,,,,Baringo,Baringo North,,,36.0,35.0
KAPTILOMWO PRIMARY SCHOOL,,,,Baringo,Baringo North,,,16.177749,-88.02782
KONOO PRIMARY SCHOOL,,,,Baringo,Baringo North,,,-70.699951,121.55224
Kipkolony,,,,Baringo,Baringo North,,,21.921071,162.262648
SEREMWO,,,,Baringo,Baringo North,,,1e-06,1e-06
TOROLOKWONIN DAY AND BOARDING PRIMARY,,,,Baringo,Baringo North,,,50.000193,34.996687
KIPKUYANG PRIMARY SCHOOL,,,,Baringo,Koibatek,,,82.893965,80.205985
LALUT  SCHOOL,,,,Baringo,Koibatek,,,40.880295,-77.826132
KOKWOMOI OMPREHENSIVE SCHOOL,,,,Baringo,Marigat,,,53.938848,92.912979
POI HILL ECD PRIMARY SCHOOL,,,,Baringo,Marigat,,,0.3579224,30.034511
CHEMUTUNG PRIMARY SCHOOL,,,,Baringo,Mogotio,,,37.614231,-24.355212
KAPLAIMOI,,,,Baringo,Mogotio,,,35.7373,35.4414
KIPKIGEI PRIMARY SCHOOL,,,,Baringo,Mogotio,,,7.297088,-48.726914
KIPTOIM PRIMARY,,,,Baringo,Mogotio,,,41.411862,53.743762
KIRIBOT,,,,Baringo,Mogotio,,,7e-06,7e-06
Kimngorom Day and Boarding Primary school,,,,Baringo,Mogotio,,,4.796211,-74.323306
CHERUMBO PRY,,,,Baringo,Tiaty East,,,43.3,36.223
Chepilat,,,,Baringo,Tiaty East,,,36.001411,43.995988
MATUNDA PRIMARY SCHOOL,,,,Baringo,Tiaty East,,,8.146243,-71.25
Tilingwo,,,,Baringo,Tiaty East,,,13.5,62.75
Chesawach,,,,Baringo,Tiaty West,,,1.174,136.055
LOIWAT BOARDING PRI,,,,Baringo,Tiaty West,,,-75.15,39.985
Molok primary school,,,,Baringo,Tiaty West,,,-16.94647,-115.488831
ST MARY'S KAKAPUL,,,,Baringo,Tiaty West,,,20.571082,-54.743272
Changina primary school,,,,Bomet,Bomet Central,,,0.79311,32.2462
MOBURO PRIMARY SCHOOL,,,,Bomet,Bomet Central,,,51.454007,51.121013
MOGOIWET PRIM ARY SCHOOL,,,,Bomet,Bomet Central,,,64.4429,-14.976478
MOUNT SUGUTEK,,,,Bomet,Bomet Central,,,-0.683424,-35.343036
Ngocho schools,,,,Bomet,Bomet Central,,,2.32846,16.039944
SILIBWET PRIMARY,,,,Bomet,Bomet Central,,,51.991609,4.206592
HIGHLAND PRIMARY,,,,Bomet,Chepalungu,,,43.201766,3.594577
Lelechwet primary school,,,,Bomet,Chepalungu,,,-0.79503,-35.305
Marangetit Primary school,,,,Bomet,Chepalungu,,,44.999767,89.215086
SAGENYA PRIMARY,,,,Bomet,Chepalungu,,,44.853245,19.546128
TILYOT PRIMARY SCHOOL,,,,Bomet,Chepalungu,,,42.1768892,-70.9352913
Changana,,,,Bomet,Konoin,,,36.759722,68.920009
Chebaibai,,,,Bomet,Konoin,,,35.15,31.01
KAPSIR PRIMARY SCHOOL,,,,Bomet,Konoin,,,-0.499536,3.201498
Kipketii,,,,Bomet,Konoin,,,0.423744404235073,0.0492920551914722
TEMBWET PRIMARY SCHOOL,,,,Bomet,Konoin,,,47.909992,-62.349074
CHEPKALWAL PRIMARY SCHOOL,,,,Bomet,Sotik,,,8.522287,-321.47816
KAMESWON,,,,Bomet,Sotik,,,-7.951917,113.950898
KAPCHEPKOSIOM PRIMARY SCHOOL,,,,Bomet,Sotik,,,-0.3893,-35.17361
KAPCHERIRE COMPREHENSIVE SCHOOL,,,,Bomet,Sotik,,,33.738045,-31.287722
KIPTORBEI PRIMARY SCHOOL,,,,Bomet,Sotik,,,46.48,355.55
Kapolesobei comprehensive,,,,Bomet,Sotik,,,5.627261,31.833295
Kapsiongo Primary School,,,,Bomet,Sotik,,,-38.409398,-72.790071
MOITA PRIMARY SCHOOL of,,,,Bomet,Sotik,,,0.5355,0.29999
NGAINET PRIMARY,,,,Bomet,Sotik,,,-1.651663,132.367167
Ngariet primary school,,,,Bomet,Sotik,,,11.560005,-36.498973
Sironet primary,,,,Bomet,Sotik,,,-52.447117,-12.340608
Siryat primary,,,,Bomet,Sotik,,,40.741895,73.989308
Namakhele primary,,,,Bungoma,Bungoma Central,,,-31.775085,-43.005472
Nangili RC primary,,,,Bungoma,Bungoma Central,,,-28.537608,36.387638
SIKATA RC PRIMARY SCHOOL,,,,Bungoma,Bungoma Central,,,45.14914,11.82057
ICFEM HAFOLAND PRIMARY SCHOOL,,,,Bungoma,Bungoma North,,,4.5246,58.3248
MILIMA RIVERSIDE FYM COMPREHNESIVE SCHOOL,,,,Bungoma,Bungoma North,,,2.5868,49.4448
Naitiri FYM PRY,,,,Bungoma,Bungoma North,,,27.0204,77.4977
CENTRAL BAPTIST PRIMARY SCHOOL,,,,Bungoma,Bungoma South,,,2.3e-05,6.7e-05
NABUKHISA CC PRIMARY SCHOOL,,,,Bungoma,Bungoma South,,,29.190533,-26.006491
Nakoyonjo D. E. B Primary,,,,Bungoma,Bungoma South,,,-4.215665,5.415194
KULISIRU FYM PRIMARY,,,,Bungoma,Bungoma West,,,36.491973,-8.876788
kakala rc,,,,Bungoma,Bungoma West,,,4.2e-05,3.8e-05
Mwiyenga ack primary school,,,,Bungoma,Kimaeti,,,10.24501,88.0
ST PETER'S RC MAKUMU SCHOOL,,,,Bungoma,Kimaeti,,,-63.220327,-99.732826
TULUKUYI RC PRIMARY,,,,Bungoma,Kimaeti,,,83.0,84.0
NASIANDA SA,,,,Bungoma,Kimilili,,,-0.19764697,0.79401785
KIMURIO RCEA PRIMARY SCHOOL,,,,Bungoma,Kipsiro,,,-24.110662,-23.175364
RWANDA SA,,,,Bungoma,Kipsiro,,,35.00486,52.994949
KAPSOKWONY DEB,,,,Bungoma,Mt. Elgon,,,23.120154,17.847678
KIMININI FYM,,,,Bungoma,Tongaren,,,53.67068,-22.948083
MILELE FYM PRIMARY,,,,Bungoma,Tongaren,,,0.79344,1e-06
TABANI RC,,,,Bungoma,Tongaren,,,0.91927,0.86977
Khalumuli junior school,,,,Bungoma,Webuye West,,,58.541693,34.723863
NAMILIMO KETC PRIMARY,,,,Bungoma,Webuye West,,,-28.659744,148.781249
BUMADEYA PRIMARY SCHOOL,,,,Busia,Bunyula,,,-88.307981,-348.75
Sifugwe Primary School,,,,Busia,Bunyula,,,34.00472,34.0339
St Meltus Saka Primary School,,,,Busia,Butula,,,14.543799,-90.557569
MWENGE PRIMARY SCHOOL,,,,Busia,Nambale,,,-1.2841368155,-1.2841
NANG`ENI JUNIOR SCHOOL,,,,Busia,Nambale,,,-2.948527,11.103629
ACUNET primary School,,,,Busia,Teso Central,,,-2.874465,100.835776
ACK CHAMASIRI,,,,Busia,Teso North,,,33.12774,-30.686846
ATABA OBURI PRIMARY SCHOOL,,,,Busia,Teso North,,,31.24448,-15.931841
GARA PRIMARY,,,,Busia,Teso North,,,46.0319,19.0428
GOROMAIT JSS,,,,Busia,Teso North,,,35.924645,10.823024
KABUKUI PRIMARY,,,,Busia,Teso North,,,-33.9119,28.2848
KATANYU PRIMARY SCHOOL,,,,Busia,Teso North,,,33.614619,-8.876788
MODING PRIMARY SCHOOL,,,,Busia,Teso North,,,18.521283,3.787377
OPAARE R.C PRIMARY,,,,Busia,Teso North,,,53.839564,23.99674
OSOPOTOIT PRIMARY SCHOOL,,,,Busia,Teso North,,,3.496972,3.463572
ST JOHN KASOGOL KAPEL SCHOOL hi,,,,Busia,Teso North,,,36.0,34.0
ST. CHARLES AKUDIET RC,,,,Busia,Teso North,,,36.0,34.0
Bugar Special School for the mentally challenged,,,,Elgeyo/Marakwet,Keiyo North,,,31.686164,-1.359429
CHEGILET PRIMARY SCHOOL,,,,Elgeyo/Marakwet,Keiyo North,,,41.000001,36.000001
USWO PRIMARY SCHOOL,,,,Elgeyo/Marakwet,Keiyo North,,,-63.596398,-70.654664
Chepkorio primary and junior secondary school,,,,Elgeyo/Marakwet,Keiyo South,,,9.0,3.0
Kapsoo mixed day and boarding primary,,,,Elgeyo/Marakwet,Keiyo South,,,27.948406,80.795638
